id,ime_aktivnosti,datum_aktivnosti,trajanje_aktivnosti,st_prev_km,skupen_vzpon,kalorije,povprecna_hitrost,povprecna_kadenca,maksimalna_kadenca
1118,biking,,70.21666666666667,30.07991015625,5.79998779296875,383,0.0,138,138
1119,biking,2014-11-02,141.81666666666666,37.55662890625,332.4000244140625,936,19.0984344750816,0,0
1121,biking,2015-02-14,193.66666666666663,73.570890625,407.5999755859375,1842,24.279799888996543,117,189
1122,biking,2015-03-20,166.5,39.40053125,213.5999755859375,1073,15.340113559750147,0,0
1123,biking,2013-07-13,167.6,77.654203125,920.5999450683594,1492,33.27202954212257,124,124
1124,biking,2013-03-23,68.91666666666667,13.64275,154.1999969482422,484,13.62862981170918,0,0
1125,biking,2016-07-26,162.31666666666666,79.466078125,284.1999816894531,2086,29.696344363166105,130,162
1126,biking,2015-05-04,215.9833333333333,77.7849296875,468.5999755859375,2103,23.660029348300814,130,130
1127,biking,2013-07-23,223.75,71.7428828125,307.79998779296875,1884,22.03614613848109,0,0
1128,biking,2013-09-17,174.8,73.4510703125,563.1999816894531,1294,26.276036766799425,194,194
1129,biking,2012-07-06,57.25,16.779119140625,443.3999633789063,499,18.46667669695121,0,0
1130,biking,2012-06-30,25.0,8.08493017578125,25.20001220703125,156,19.392072726631184,0,0
1132,biking,2013-07-27,138.18333333333334,52.47853125,202.80001831054688,756,27.84065667154297,132,132
1133,biking,2014-04-27,36.53333333333333,6.73835009765625,109.4000015258789,274,14.626349522938607,0,0
1134,biking,2015-09-27,65.68333333333334,1.61502001953125,15.20001220703125,56,12.632002335666384,0,0
1135,biking,2012-10-22,161.08333333333334,65.39387109375,182.5999755859375,1061,30.97499672094024,0,0
1136,biking,2015-07-23,288.78333333333336,160.492125,467.0,3715,35.223951181181654,136,136
1137,biking,2013-01-31,114.5,57.264390625,220.6000366210937,737,30.82264231481851,0,0
1138,biking,2012-06-23,89.91666666666667,27.952919921875,99.39999389648438,1447,18.64899401755528,0,0
1139,biking,2015-03-24,135.91666666666666,59.29169921875,479.0,1402,26.666040290467475,129,129
1140,biking,2012-03-21,147.35,47.66883984375,165.0,1015,21.614066663925204,0,0
1141,biking,2014-05-11,79.51666666666667,16.0050498046875,134.80001831054688,1157,12.077078651999775,0,0
1142,biking,2011-12-16,30.6,0.4970599975585937,25.4000244140625,227,0.9701186670190178,0,0
1144,biking,2013-04-21,23.066666666666663,7.0607998046875,50.199981689453125,142,20.40121713892852,0,0
1145,biking,2015-03-07,97.1,31.507240234375,698.8000183105469,927,20.38636614013729,129,129
1147,biking,2017-08-23,166.36666666666667,49.94355078125,474.5999755859375,1961,18.62633892630423,108,108
1148,biking,2014-01-09,216.01666666666668,53.2648203125,70.0,1040,27.91348056904154,146,146
1149,biking,2016-09-03,39.1,13.4733701171875,779.800048828125,762,20.63285841667792,123,123
1150,biking,2012-11-25,91.95,25.940029296875,210.79998779296875,450,20.980868089121863,0,0
1151,biking,2013-09-07,20.1,7.54960009765625,69.0,184,22.502386371893845,0,0
1152,biking,2016-05-16,30.73333333333333,6.05877978515625,159.39999389648438,267,18.63821419477165,0,0
1153,biking,2016-07-23,153.05,42.4497890625,508.3999633789063,2510,16.823789247578,228,228
1154,biking,2015-01-23,200.21666666666667,96.4003828125,138.1999969482422,1943,28.88010108092668,176,176
1156,biking,2015-06-12,254.26666666666668,78.7211015625,454.2000274658203,521,32.677693863626175,0,0
1157,biking,2015-05-29,85.55,27.81205078125,292.0,671,22.55440229780096,129,129
1158,biking,2017-08-11,177.53333333333333,49.0355703125,479.7999877929688,2166,19.0670017824808,119,119
1159,biking,2014-07-21,18.48333333333333,6.6592001953125,177.0,151,22.96359798037038,0,0
1160,biking,2017-09-01,43.31666666666667,14.2063095703125,266.79998779296875,501,19.65778487248409,105,105
1161,biking,2013-04-03,131.36666666666667,62.15019140625,197.6000061035156,799,29.409503038589715,130,130
1162,biking,2012-09-11,171.3,65.04903125,641.6000061035156,1175,25.801805977432128,0,0
1163,biking,2016-02-28,197.81666666666663,50.21246875,351.99999237060547,1110,18.335576880446524,0,0
1164,biking,2017-09-28,137.68333333333334,39.974328125,386.8000183105469,1310,18.03368727074973,183,183
1165,biking,2017-10-20,26.75,15.0959697265625,278.8000183105469,659,33.81797823000929,0,0
1166,biking,2013-09-10,39.1,19.91894921875,133.60000610351562,373,30.54627498592561,128,128
1167,biking,2012-11-22,140.85,38.31823046875,797.6000366210938,926,16.8748290736857,0,0
1168,biking,2015-08-21,95.18333333333334,35.12480859375,154.00003051757812,815,26.424930397464664,113,113
